01_PortLocation,02_PortName,03_PortAuth,04_PortAddress,05_PortPhone,06_PortFax,07_Port800Num,08_PortEmail,09_PortWeb,10_PortLat,11_PortLong,12_PortLOCODE,13_PortType,14_PortSize,LAT,LONGS
Ceyhan,Botas (Ceyhan) Oil Terminal,Botas International Limited,Haydar Aliyev TerminaliCeyhan / ADANA 01944Turkey,90 322 355 1700,90 322 355 1892,NAN,info@botasint.com,www.botasint.com,"36° 52' 30"" N","35° 55' 52"" E",NAN,"Pier, Jetty or Wharf",Small,36.875,35.93111111111111
Derince,Port of Derince,General Directorate of Turkish Sate Railways (TCDD),TCDD Liman Iþletmesi MudurluguDerinceTurkey,262 239 90 21,262 223 42 78,NAN,derinceliman@tcdd.gov.tr,www.tcdd.gov.tr,"40° 45' 4"" N","29° 50' 31"" E",TRDRC,Seaport,Small,40.75111111111111,29.841944444444444
Dikili,Port of Dikili,Dikili Port Authority,Ataturk Caddesi No 11DikiliIzmirTurkey,NAN,NAN,NAN,info@portofdikili.com,NAN,"39° 4' 14"" N","26° 53' 12"" E",TRDIK,"Pier, Jetty or Wharf",Small,39.07055555555556,26.886666666666667
Fatsa,Port of Fatsa,Fatsa Port Authority,Liman BaskanligiFatsaTurkey,90 452 423 4338,90 452 423 1169,NAN,NAN,NAN,"41° 2' 38"" N","37° 29' 20"" E",TRFAS,Harbor,Small,41.04388888888889,37.48888888888889
Fethiye,Port of Fethiye,Fethiye Liman Baskanligi,"Fethiye Belediye BaskanligiFethiye, MuglaTurkey",90 252 614 1187,90 252 614 4235,NAN,belediyem@fethiye.bel.tr,www.fethiye.bel.tr,"36° 37' 34"" N","29° 6' 10"" E",TRFET,Harbor,Small,36.626111111111115,29.102777777777778
Finike,Port of Finike,Finike Port Authority,Liman BaskanligiFinikeAntalya 07740Turkey,90 242 855 3787,90 242 855 2643,NAN,finike@seturmarinas.com,NAN,"36° 17' 38"" N","30° 9' 0"" E",TRFIN,Harbor,Small,36.29388888888889,30.15
Giresun,Port of Giresun,Cakiroglu Giresun Liman Isletmesi A.S.,Ataturk BulvariSultanselim Mahallesi No 9GiresunTurkey,454 216 1490,454 212 1734,NAN,NAN,NAN,"40° 55' 10"" N","38° 22' 49"" E",TRGIR,Harbor,Small,40.919444444444444,38.38027777777778
Gocek,Port of Gocek,Gocek Port Authority,Liman BaskanligiFethiyeTurkey,90 252 697 5600,NAN,NAN,NAN,NAN,"36° 45' 12"" N","28° 56' 1"" E",TRGCK,Harbor,Small,36.75333333333333,28.933611111111112
Gorele,Port of Gorele,Gorele Port Authority,"Mebus Sevket Bey CadKumyali Mah, No 42Gorele, GiresunTurkey",90 454 513 1047,90 454 513 1047,NAN,NAN,NAN,"41° 2' 7"" N","39° 0' 20"" E",TRGOR,Harbor,Small,41.03527777777778,39.00555555555555
Gulluk,Port of Gulluk,Gulluk Port Authority,"Turkiye Denizcilik IsletmeleriGulluk Isletme MudurluguGulluk, MuglaTurkey",90 252 522 2220,90 252 522 2669,NAN,NAN,NAN,"37° 14' 18"" N","27° 35' 45"" E",TRGUL,Seaport,Small,37.23833333333334,27.59583333333333
Hopa,Port of Hopa,Park Shipping Hopa Port Management Co.,Liman Isletmesi MudurluguHopa 08600Turkey,466 351 22 59,466 351 47 91,NAN,NAN,NAN,"41° 24' 42"" N","41° 25' 48"" E",TRHOP,Harbor,Small,41.41166666666666,41.43
Icdas,Icdas Jetty,Icdas Celik Enerji Tersane ve Ulasim Sanayi AS,"Icdas TesisleriDegirmencik Koyu MevkiBiga, Canakkale 17200Turkey",90 286 364 5800,90 286 364 5800,NAN,biga.liman@icdas.com.tr,www.icdas.com.tr,"40° 27' 55"" N","27° 16' 11"" E",NAN,"Pier, Jetty or Wharf",Small,40.46527777777778,27.26972222222222
Inebolu,Port of Inebolu,Inebolu Port Authority,"Inebolu Liman BaskanligiInebolu, Kastamonu 37500Turkey",90 366 811 4016,90 366 811 3232,NAN,NAN,NAN,"41° 58' 46"" N","33° 46' 3"" E",TRINE,Harbor,Small,41.97944444444445,33.7675
Iskenderun,Port of Iskenderun,General Directorate of Turkish State Railways (TCDD),TCDD Liman Isletmesi MudurluguIskenderunTurkey,326 614 00 44,326 613 24 24,NAN,iskenderunliman@tcdd.gov.tr,www.tcdd.gov.tr,"36° 35' 57"" N","36° 11' 8"" E",TRISK,Harbor,Small,36.59916666666667,36.18555555555555
Karabiga,Port of Karabiga,Karabiga Municipality,KarabigaTurkey,90 286 354 1146,NAN,NAN,NAN,NAN,"40° 24' 8"" N","27° 18' 24"" E",TRKRB,Harbor,Small,40.40222222222222,27.30666666666667
Marmaris,Port of Marmaris,Marmaris Port Authority,"Liman BaskanligiGunnucek YoluMarmaris Limani, Marmaris 48700Turkey",90 252 412 0303,90 252 413 1326,NAN,info@marmariscruiseport.com,www.marmariscruiseport.com,"36° 50' 58"" N","28° 16' 47"" E",TRMRM,Harbor,Small,36.849444444444444,28.279722222222222
Mudanya,Port of Mudanya,Mudanya Port Authority,Liman BaskanligiMudanyaTurkey,90 224 544 1650,90 224 544 1657,NAN,mudanya@mudanya.bel.tr,NAN,"40° 22' 37"" N","28° 52' 51"" E",TRMUD,Harbor,Small,40.37694444444445,28.880833333333335
Nemrut Bay,Port of Nemrut Bay,Nemrut Bay Port Authority,Aliaga Liman Petrolleri AnonimBaskanligiTurkey,90 232 616 1993,90 232 616 4106,NAN,NAN,NAN,"38° 47' 38"" N","26° 56' 24"" E",TRNEM,Seaport,Medium,38.79388888888889,26.94
Ordu,Port of Ordu,Cakiroglu Ordu Liman Isletmesi A.S.,Tasbasi MahallesiAtaturk Bulvari No 23OrduTurkey,212 262 02 83,212 223 43 20,NAN,NAN,NAN,"40° 59' 44"" N","37° 52' 35"" E",TRORD,"Pier, Jetty or Wharf",Very Small,40.995555555555555,37.87638888888889
Rize,Port of Rize,Rize Liman Isletme Sefligi,Inonu BulvariRize 53100Turkey,464 223 45 68,464 223 30 77,NAN,riport@riport.com,www.riport.com,"41° 2' 16"" N","40° 30' 43"" E",TRRIZ,Seaport,Small,41.03777777777778,40.511944444444445
Samsun,Port of Samsun,General Directorate of Turkish State Railways (TCDD),TCDD Liman Isletmesi MudurluguSamsun 55100Turkey,362 445 16 56,362 445 16 26,NAN,samsunliman@tcdd.gov.tr,www.tcdd.gov.tr,"41° 17' 59"" N","36° 20' 40"" E",TRSSX,Seaport,Small,41.29972222222222,36.34444444444445
Sedef,Port of Sedef,Sedef Gemi Endustrisi A.S.,Dil IskelesIcmeler MevkiiGebze - Kocaeli 41455Turkey,262 641 50 50,262 641 67 30,NAN,NAN,NAN,"40° 46' 3"" N","29° 32' 4"" E",NAN,Port Terminal,Medium,40.7675,29.534444444444446
Sinop,Port of Sinop,Cakiroglu Sinop Liman Isletmesi AS,Meydankapi MahallesiIskele CaddesiSinopTurkey,90 368 261 7155,90 368 261 4122,NAN,sinoplb@denizcilik.gov.tr,NAN,"42° 1' 24"" N","35° 8' 54"" E",TRSIC,Harbor,Small,42.02333333333333,35.14833333333333
Tasucu,Port of Tasucu,Tasucu Limani,"Seka LimaniTasucu, SilifkeTurkey",90 324 741 2591,90 324 741 4997,NAN,sekaak@tt.net.net.tr,NAN,"36° 18' 46"" N","33° 53' 5"" E",TRTAS,Harbor,Small,36.312777777777775,33.88472222222222
Trabzon,Port of Trabzon,Turkish Maritime Organization,Trabzon LimanIsletmesi MudurluguTrabzonTurkey,90 462 321 1156,90 462 327 1004,NAN,NAN,NAN,"41° 0' 20"" N","39° 44' 18"" E",TRTZX,Harbor,Small,41.00555555555555,39.73833333333334
Zonguldak,Port of Zonguldak,TTK Transport Management Directorate,ZonguldakTurkey,372 252 10 31,372 251 19 00,NAN,NAN,NAN,"41° 27' 25"" N","31° 47' 5"" E",TRZON,Harbor,Small,41.456944444444446,31.784722222222225
Turkmanbashi,Port of Turkmanbashi,NAN,TurkmanbashiTurkmenistan,NAN,NAN,NAN,NAN,NAN,"40° 0' 0"" N","53° 1' 39"" E",NAN,Seaport,Medium,40.0,53.027499999999996
Cockburn Harbour,Cockburn Harbour,Maritime Department,Butterfield SquareProvidencialesTurks and Caicos Islands,649-941-3148,649-941-4213,NAN,tcimaritime@tciway.tc,www.turksandcaicosislands.gov.tc,"21° 29' 38"" N","71° 32' 10"" W",NAN,Seaport,Small,21.49388888888889,-71.53611111111111
Grand Turk,Grand Turk Port,Maritime Department,Butterfield SquareProvidencialesTurks and Caicos Islands,649-941-3148,649-941-4213,NAN,tcimaritime@tciway.tc,www.turksandcaicosislands.gov.tc,"21° 26' 1"" N","71° 8' 51"" W",NAN,"Pier, Jetty or Wharf",Small,21.433611111111112,-71.14750000000001
Providenciales,Port of Providenciales,Maritime Department,Butterfield SquareProvidencialesTurks and Caicos Islands,649-941-3148,649-941-4213,NAN,tcimaritime@tciway.tc,www.turksandcaicosislands.gov.tc,"21° 45' 46"" N","72° 15' 34"" W",TCPLS,"Pier, Jetty or Wharf",Small,21.762777777777778,-72.25944444444444
Funafuti,Port of Funafuti,Funafuti Port Authority,Ministry of Communication and TransportVaiakuFunafutiTuvalu,688 20054,688 20058,NAN,marine@tuvalu.tv,NAN,"8° 30' 10"" S","179° 11' 45"" E",TVFUN,"Pier, Jetty or Wharf",Very Small,-8.502777777777778,179.19583333333333
Feodosia,Port of Feodosia,NAN,FeodosiaUkraine,NAN,NAN,NAN,NAN,www.ukrport.org.ua,"45° 1' 35"" N","35° 23' 32"" E",NAN,Seaport,Small,45.02638888888889,35.39222222222222
Dibba Al-Fujairah,Port of Dibba Al-Fujairah,NAN,"Dibba Al-Fujairah, FujairahUnited Arab Emirates",NAN,NAN,NAN,NAN,NAN,"25° 36' 43"" N","56° 17' 32"" E",NAN,Harbor,Small,25.611944444444447,56.29222222222222
Fujairah,Port of Fujairah,PO Box 787,"Fujairah, FujairahUnited Arab Emirates",971 9 2228800,971 9 2228811,NAN,GMS_POF@fujairahport.ae,www.fujairahport.ae,"25° 10' 42"" N","56° 21' 37"" E",NAN,Seaport,Small,25.178333333333335,56.36027777777778
Khalifa,Khalifa Port,Abu Dhabi Ports Company (ADPC),PO Box 54477Abu DhabiUnited Arab Emirates,NAN,00971 2 697 5174,NAN,investor.relations@adpc.ae,www.adpc.ae,"24° 46' 22"" N","54° 41' 7"" E",NAN,Seaport,Medium,24.772777777777776,54.68527777777778
Aberaeron,Port of Aberaeron,Aberaeron Harbour Authority,"Harbour OfficeSouth BeachAberaeron, Ceredigion SA46 0BEUnited Kingdom",44 1545 571645,44 1545 572573,NAN,NAN,NAN,"52° 14' 34"" N","4° 15' 49"" W",GBABA,Harbor,Very Small,52.24277777777778,-4.2636111111111115
Aberdour,Braefoot Bay Terminal,NAN,AberdourUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"56° 2' 10"" N","3° 18' 46"" W",GBBFB,"Pier, Jetty or Wharf",Small,56.03611111111111,-3.312777777777778
Aberdovey,Aberdovey Harbour,Aberdovey Port Authority,"Harbour OfficeThe WharfAberdovey, Gwynedd LL35 0EBUnited Kingdom",NAN,NAN,NAN,NAN,NAN,"52° 32' 36"" N","4° 2' 37"" W",NAN,Harbor,Very Small,52.54333333333333,-4.043611111111111
Acarsaid,Port of Acarsaid,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"57° 4' 3"" N","7° 17' 38"" W",NAN,"Pier, Jetty or Wharf",Very Small,57.0675,-7.293888888888889
Aird Mhor,Port of Aird Mhor,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"56° 57' 36"" N","7° 26' 28"" W",NAN,"Pier, Jetty or Wharf",Very Small,56.96,-7.441111111111112
Appledore,Port of Appledore,Appledore Port Authority,"Port OfficeAppledore, DevonUnited Kingdom",NAN,NAN,NAN,NAN,NAN,"51° 2' 44"" N","4° 11' 29"" W",GBAPP,"Pier, Jetty or Wharf",Very Small,51.04555555555555,-4.1913888888888895
Arbroath,Port of Arbroath,Arbroath Port Authority,Harbour OfficeAngus CouncilArbroath DD11 1PDUnited Kingdom,44 1241 872166,44 1241 878472,NAN,harbourmaster@arbroathharbour.sol.co.uk,NAN,"56° 33' 17"" N","2° 35' 2"" W",GBARB,Harbor,Small,56.55472222222222,-2.583888888888889
Ardglass,Ardglass Harbour,Northern Ireland Fishery Harbour Authority (NIFHA),"3 St Patricks AvenueDownpatrick, County Down BT30 6DWUnited Kingdom",028 4461 3844,028 4461 7128,NAN,mccaughey@nifha.freeserve.co.uk,www.nifha.fsnet.co.uk,"54° 15' 41"" N","5° 36' 20"" W",NAN,Harbor,Small,54.26138888888889,-5.605555555555555
Ardrishaig,Ardrishaig Harbor,NAN,ArdrishaigUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"56° 0' 48"" N","5° 26' 45"" W",GBASG,Harbor,Small,56.013333333333335,-5.445833333333334
Ardrossan,Ardrossan Harbour,Clydeport Ltd,"The Harbour OfficeArdrossan, North Ayrshire KA22 8DBUnited Kingdom",01475 726171,NAN,NAN,walter.barclay@clydeport.co.uk,www.clydeport.co.uk,"55° 38' 24"" N","4° 49' 12"" W",GBARD,Harbor,Small,55.64,-4.819999999999999
Ardveenish,Ardveenish Harbor,http://www.cne-siar.gov.uk/,"Ardveenish, ScotlandUnited Kingdom",NAN,NAN,NAN,calum-macleod@cne-siar.gov.uk,www.cne-siar.gov.uk,"57° 0' 9"" N","7° 24' 33"" W",NAN,"Pier, Jetty or Wharf",Small,57.0025,-7.409166666666667
Aultbea,Aultbea Harbor,NAN,AultbeaUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"57° 50' 0"" N","5° 35' 21"" W",NAN,Harbor,Very Small,57.833333333333336,-5.589166666666666
Avoch,Avoch Harbor,Avoch Harbor Trust,"PierheadAvoch, Scotland IV9 8PTUnited Kingdom",01381 622383,NAN,NAN,NAN,www.avoch.org/content/harbour-0,"57° 34' 0"" N","4° 9' 58"" W",NAN,Harbor,Small,57.56666666666667,-4.166111111111111
Axmouth,Axmouth Harbour,Axmouth Harbour Management Company,United Kingdom,07939 044109,NAN,NAN,NAN,www.axeyachtclub.co.uk/Harbour/Information.htm,"50° 42' 12"" N","3° 3' 27"" W",NAN,Harbor,Small,50.70333333333333,-3.0574999999999997
Ayr,Port of Ayr,Associated British Ports,"ABP Ayr Port OfficeNorth Harbour StreetAyr, Scotland KA8 8AHUnited Kingdom",01292 281 687,01292 287 787,NAN,scresswell@abports.co.uk,www.abports.co.uk/custinfo/ports/ayr.htm,"55° 28' 6"" N","4° 38' 18"" W",GBAYR,Seaport,Small,55.468333333333334,-4.638333333333333
Balintore,Balintore Harbor,Highland Council,"Balintore, ScotlandUnited Kingdom",01862 832793,NAN,NAN,NAN,NAN,"57° 45' 16"" N","3° 54' 37"" W",NAN,Harbor,Small,57.754444444444445,-3.9102777777777775
Ballantrae,Ballantrae Harbor,South Ayrshire Council,"Macadam House34 Charlotte StreetAyr, Scotland KA7 1EAUnited Kingdom",01465 713648,NAN,NAN,NAN,www.south-ayrshire.gov.uk,"55° 6' 17"" N","5° 0' 32"" W",NAN,"Pier, Jetty or Wharf",Very Small,55.10472222222222,-5.0088888888888885
Baltasound,Baltasound Harbour,Sullom Voe Harbour Authority,"Port Administration BuildingSella NessSullom Voe, Shetland ZE2 9QRUnited Kingdom",1806 242551,1806 242237,NAN,ports@shetland.gov.uk,www.shetland.gov.uk/ports,"60° 45' 34"" N","0° 50' 17"" W",GBBSN,"Pier, Jetty or Wharf",Very Small,60.75944444444445,-0.8380555555555556
Banff,Banff Harbour,Aberdeenshire Council,"Harbour OfficesQuaysideBanff, BanffshireUnited Kingdom",01261 815544,01261 815544,NAN,NAN,www.aberdeenshire.gov.uk/harbours,"57° 40' 11"" N","2° 31' 21"" W",GBBFF,Harbor,Very Small,57.66972222222222,-2.5225
Bangor,Port of Bangor,Bangor Port Authority,North Down Borough CouncilThe Town HallBangor BT20 4BTUnited Kingdom,44 28 9145 3297,44 28 9145 3450,NAN,NAN,www.northdown.gov.uk,"54° 39' 54"" N","5° 40' 15"" W",GBBNG,Harbor,Small,54.665,-5.670833333333333
Barmouth,Barmouth Harbour,Barmouth Port Authority,"Harbour OfficeThe QuayBarmouth, Gwynedd LL42 1HBUnited Kingdom",44 1341 280671,44 1341 280671,NAN,NAN,NAN,"52° 43' 5"" N","4° 3' 6"" W",NAN,Harbor,Small,52.71805555555556,-4.051666666666667
Barrow Haven,Barrow Haven,Old Ferry Wharf Ltd,"Ferry RoadBarrow Haven,North Lincs DN19 7ETUnited Kingdom",01469 533335,01469 533336,NAN,agency@oldferrywharf.com,www.oldferrywharf.com,"53° 41' 55"" N","0° 23' 36"" W",NAN,Harbor,Small,53.698611111111106,-0.39333333333333337
Bayble,Port of Bayble,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"58° 11' 51"" N","6° 12' 28"" W",NAN,"Pier, Jetty or Wharf",Very Small,58.1975,-6.207777777777778
Beaulieu,Beaulieu Harbour,Beaulieu Enterprises Ltd,"Buckler's HardHarbour Masters OfficeBeaulieu, Hampshire SO42 7XBUnited Kingdom",1590 616200,1590 616211,NAN,beaulieu@tcp.co.uk,www.beaulieu.co.uk,"50° 48' 5"" N","1° 25' 11"" W",GBBLU,Harbor,Small,50.80138888888889,-1.4197222222222223
Bembridge,Bembridge Harbour,NAN,"Harbour OfficeThe Duver, St Helens QuayRyde, Isle of Wight PO33 1YBUnited Kingdom",01983 872828,01983 872922,NAN,NAN,NAN,"50° 41' 35"" N","1° 5' 59"" W",GBBBP,Harbor,Small,50.69305555555555,-1.099722222222222
Berneray,Berneray Harbour,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"57° 42' 50"" N","7° 10' 9"" W",NAN,Harbor,Small,57.71388888888889,-7.169166666666667
Bideford,Bideford Harbour,Torridge District Council,Harbour OfficeBideford EX39 2AGUnited Kingdom,44 79673 33725,44 123 747 5834,NAN,NAN,NAN,"51° 1' 6"" N","4° 12' 14"" W",GBBID,Harbor,Small,51.01833333333333,-4.203888888888889
Bird Port,Bird Port,Cardiff Stevedoring and Cargo Handling Company Limited,Corporation RoadNewportGwent NP19 4REUnited Kingdom,44 1633 281040,44 1633 273826,NAN,admin@birdport.co.uk,www.birdport.co.uk,"51° 33' 11"" N","2° 58' 1"" W",NAN,Harbor,Small,51.55305555555555,-2.9669444444444446
Birkenhead,Port of Birkenhead,NAN,BirkenheadUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"53° 23' 32"" N","3° 1' 25"" W",GBBRK,Seaport,Medium,53.39222222222222,-3.0236111111111112
Blacktoft,Blacktoft Jetty,Associated British Ports,"Blacktoft, North Humberside DN14 7YWUnited Kingdom",01430 440331,NAN,NAN,NAN,NAN,"53° 42' 25"" N","0° 43' 36"" W",NAN,"Pier, Jetty or Wharf",Very Small,53.706944444444446,-0.7266666666666667
Blyth,Port of Blyth,Blyth Port Authority,"South HarbourBlyth, Northumberland NE24 3PBUnited Kingdom",44 1670 352066,44 1670 368540,NAN,enquiries@blythport.co.uk,www.portofblyth.co.uk,"55° 7' 43"" N","1° 30' 11"" W",GBBLY,Seaport,Small,55.12861111111111,-1.5030555555555556
Boston,Port of Boston,Victoria Group,BostonLincolnshire PE21 6BNUnited Kingdom,44 0 1205 365571,44 0 1205 310126,NAN,administrator@portofboston.co.uk,www.portofboston.co.uk,"52° 58' 8"" N","0° 1' 4"" W",GBBOS,River Port,Small,52.96888888888889,-0.017777777777777778
Bowling,Bowling Harbor,NAN,BowlingUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"55° 55' 46"" N","4° 28' 47"" W",GBBOW,Harbor,Very Small,55.92944444444444,-4.479722222222223
Braye,Braye Harbour,States of Alderney,"Harbour OfficeBraye HarbourAlderney, Channel Islands GY9 3XXUnited Kingdom",NAN,NAN,NAN,NAN,NAN,"49° 43' 32"" N","2° 11' 43"" W",NAN,Harbor,Small,49.72555555555556,-2.1952777777777777
Breasclete,Breasclete Harbour,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"58° 12' 59"" N","6° 45' 20"" W",NAN,"Pier, Jetty or Wharf",Very Small,58.21638888888889,-6.7555555555555555
Breibhig,Port of Breibhig,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"58° 16' 2"" N","6° 17' 39"" W",NAN,Harbor,Small,58.26722222222222,-6.2941666666666665
Bridgwater,Port of Bridgwater,Sedgemoor District Council,Bridgwater HouseKing SquareBridgwater TA6 3ARUnited Kingdom,44 845 408 2540,NAN,NAN,NAN,www.sedgemoor.gov.uk,"51° 7' 58"" N","3° 0' 17"" W",GBBRW,River Port,Small,51.132777777777775,-3.004722222222222
Bridlington,Bridlington Harbour,Bridlington Harbour Commission,"Gummers WharfWest EndBridlington, East Yorkshire YO15 3ANUnited Kingdom",44 1262 670148,44 1262 602041,NAN,NAN,NAN,"54° 4' 50"" N","0° 11' 25"" W",GBBRT,Harbor,Small,54.080555555555556,-0.19027777777777777
Bridport,Bridport Harbour,Port Authority of Bridport,"Harbour OfficeWest BayBridport, Dorset DT6 4HEUnited Kingdom",44 1308 23222,NAN,NAN,NAN,NAN,"50° 42' 38"" N","2° 45' 47"" W",GBBRP,Harbor,Small,50.71055555555556,-2.7630555555555554
Brightlingsea,Brightlingsea Harbour,Brightlingsea Harbour Commissioners,"4 Copperas RoadBrightlingsea, Essex CO7 0APUnited Kingdom",44 1206 302200,44 1206 308533,NAN,NAN,www.brightlingsea-town.co.uk/sailing/harbour_commissioners.htm,"51° 48' 17"" N","1° 1' 29"" E",GBBLS,Harbor,Small,51.80472222222222,1.024722222222222
Bristol ,Bristol City Docks,Bristol Harbour Office,Underfall YardCumberland RoadBristol  BS1 6XGUnited Kingdom,0117 926 4797,NAN,NAN,harbour.office@bristol.gov.uk,www.bristol.gov.uk/ccm/navigation/transport-and-streets/ports-and-harbours,"51° 26' 58"" N","2° 36' 23"" W",NAN,River Port,Small,51.44944444444444,-2.606388888888889
Bristol,Port of Bristol,The Bristol Port Company,St Andrews HouseSt Andrews RoadAvonmouth BS11 9DQUnited Kingdom,44 0 117 982 0000,44 0 117 982 0698,NAN,enquiries@bristolport.co.uk,www.bristolport.co.uk,"51° 29' 56"" N","2° 42' 44"" W",GBBRS,Seaport,Small,51.49888888888889,-2.7122222222222225
Brixham,Brixham Harbour,Torbay Harbour Authority,"Harbour OfficeBeacon QuayTorquay, Devon TQ1 2BGUnited Kingdom",44 1803 292429,44 1803 299257,NAN,NAN,www.torbay.gov.uk,"50° 24' 3"" N","3° 30' 38"" W",GBBRX,Harbor,Small,50.40083333333333,-3.5105555555555554
Brodick,Brodick Harbour,Brodick Harbour Port Authority,"Caledonian MacBrayneThe PierBrodick, Isle of Aran KA27 8AYUnited Kingdom",44 1770 302166,44 1770 302618,NAN,NAN,NAN,"55° 34' 37"" N","5° 8' 17"" W",GBBDI,"Pier, Jetty or Wharf",Very Small,55.57694444444445,-5.138055555555556
Bromborough,Bromborough Dock,NAN,BromboroughUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"53° 21' 21"" N","2° 58' 37"" W",GBBHK,"Pier, Jetty or Wharf",Very Small,53.35583333333334,-2.9769444444444444
Brora,Brora Harbor,Highland Council,"Brora, ScotlandUnited Kingdom",NAN,NAN,NAN,NAN,NAN,"58° 0' 38"" N","3° 50' 53"" W",NAN,Harbor,Very Small,58.010555555555555,-3.848055555555556
Buckie,Port of Buckie,The Moray Council,"Harbour Office286 Commercial RoadBuckie, Grampian IV30 5UAUnited Kingdom",44 1542 831700,44 1542 834742,NAN,NAN,NAN,"57° 40' 52"" N","2° 57' 21"" W",GBBUC,Harbor,Very Small,57.68111111111111,-2.9558333333333335
Bude,Bude Harbor,NAN,BudeUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"50° 49' 40"" N","4° 32' 54"" W",GBBUD,Harbor,Very Small,50.82777777777778,-4.548333333333333
Burghead,Port of Burghead,The Moray Council,"Harbour OfficeBurghead, Grampian IV30 5UAUnited Kingdom",IV30 5UA,44 1343 835337,NAN,NAN,NAN,"57° 42' 6"" N","3° 29' 50"" W",GBBUH,Harbor,Small,57.70166666666667,-3.4972222222222222
Burray,Burray Pier,Orkney Islands Council,"Department of Marine ServicesHarbour Authority BuildingScapa, Scotland KW15 1SDUnited Kingdom",44 1856 873636,44 1856 873012,NAN,harbours@orkney.gov.uk,www.orkneyharbours.com,"58° 50' 35"" N","2° 54' 55"" W",NAN,"Pier, Jetty or Wharf",Very Small,58.84305555555556,-2.915277777777778
Burry Port,Burry Port Harbor,NAN,"Burry Port, WalesUnited Kingdom",01554 777744,NAN,NAN,redickinson@carmarthenshire.gov.uk,www.burryport.org,"51° 40' 47"" N","4° 15' 1"" W",NAN,Harbor,Small,51.67972222222222,-4.250277777777778
Burton-upon-Stather,Kings Ferry Wharf,Charles Willie Group,"Kings Ferry WharfScunthorpe, South Humberside DN15 9DJUnited Kingdom",44 (0) 29 2047 1000,NAN,NAN,NAN,www.williegroup.co.uk,"53° 39' 18"" N","0° 41' 37"" W",NAN,"Pier, Jetty or Wharf",Small,53.655,-0.6936111111111112
Caernarfon,Caernarfon Harbor,Caernarfon Harbour Trust,"Harbour OfficeSlate QuayCaernarfon, Gwynedd LL55 2PBUnited Kingdom",01286 672118,01286 678729,NAN,enquiries@caernarfonharbour.co.uk,www.caernarfon-hbr.demon.co.uk,"53° 8' 36"" N","4° 16' 36"" W",GBCNV,Harbor,Small,53.14333333333333,-4.276666666666666
Cairnryan,Cairnryan Harbor,P and O Irish Sea Ferries,"The PortCairnryan, Scotland DG9 8RFUnited Kingdom",44 870 2424 777,NAN,NAN,NAN,NAN,"54° 58' 7"" N","5° 1' 10"" W",NAN,Harbor,Small,54.968611111111116,-5.019444444444445
Campbeltown,Port of Campbeltown,NAN,CampbeltownUnited Kingdom,NAN,NAN,NAN,NAN,NAN,"55° 25' 28"" N","5° 36' 3"" W",GBCBT,Harbor,Very Small,55.42444444444444,-5.600833333333333
Canna,Canna Harbor,National Trust for Scotland,"Canna, ScotlandUnited Kingdom",01687 462466,NAN,NAN,NAN,NAN,"57° 3' 21"" N","6° 29' 26"" W",NAN,"Pier, Jetty or Wharf",Very Small,57.05583333333333,-6.490555555555556
Caolis,Caolis Harbor,Comhairle Nan Eilean Siar,"Caolis, ScotlandUnited Kingdom",01870 602425,NAN,NAN,calum-macleod@cne-siar.gov.uk,www.cne-siar.gov.uk,"56° 56' 45"" N","7° 32' 0"" W",NAN,"Pier, Jetty or Wharf",Very Small,56.94583333333333,-7.533333333333333
Carloway,Port of Carloway,Comhairle Nan Eilean Siar,"Balivanich, Isle of Benbecula HS7 5LAUnited Kingdom",44 1870 602425,44 1870 602988,NAN,harbourmaster@cne-siar.gov.uk,www.cne-siar.gov.uk/harbourmaster,"58° 16' 42"" N","6° 47' 26"" W",NAN,"Pier, Jetty or Wharf",Very Small,58.27833333333333,-6.790555555555556
